source;target;type;match_type
/archives/1315-0706-librairie-teissier-nimes-30-blaise-volkaert-christophe-chay-et-jacques-durand-en-presence-de-marco-perez;/evenement/0706-librairie-teissier-nimes-30-blaise-volkaert-christophe-chay-et-jacques-durand-en-presence-de-marco-perez;301;exact
/archives/1331-0706-belus-40-passiflore-patrick-fort-et-marc-large;/evenement/0706-belus-40-passiflore-patrick-fort-et-marc-large;301;exact
/archives/1319-0506-consulat-d-allemagne-bordeaux-33-jean-tucoo-chala-corine-defrance-et-ulrich-pfeil;/evenement/0506-consulat-d-allemagne-bordeaux-33-jean-tucoo-chala-corine-defrance-et-ulrich-pfeil;301;exact
/archives/1310-0406-librairie-la-lanterne-morcenx-la-nouvelle-40-jean-tucoo-chala;/evenement/0406-librairie-la-lanterne-morcenx-la-nouvelle-40-jean-tucoo-chala;301;exact
/archives/1328-0406-librairie-ex-libris-33-sophie-chaussade;/evenement/0406-librairie-ex-libris-33-sophie-chaussade;301;exact
/archives/1323-0106-maison-de-la-station-saint-julien-en-born-40-pascale-dewambrechies;/evenement/0106-maison-de-la-station-saint-julien-en-born-40-pascale-dewambrechies;301;exact
/archives/1322-3105-maison-de-la-station-saint-julien-en-born-40-sophie-chaussade;/evenement/3105-maison-de-la-station-saint-julien-en-born-40-sophie-chaussade;301;exact
/archives/1304-2405-librairie-lacoste-mont-de-marsan-40-jean-tucoo-chala;/evenement/2405-librairie-lacoste-mont-de-marsan-40-jean-tucoo-chala;301;exact
/archives/1314-2405-l-oncle-tome-soulac-33-chantal-detcherry;/evenement/2405-l-oncle-tome-soulac-33-chantal-detcherry;301;exact
/archives/1318-2405-mediatheque-de-castets-40-passiflore;/evenement/2405-mediatheque-de-castets-40-passiflore;301;exact
/archives/1273-2005-salle-felix-arnaudin-saint-paul-les-dax-40-frederic-sudupe;/evenement/2005-salle-felix-arnaudin-saint-paul-les-dax-40-frederic-sudupe;301;exact
/archives/1302-1705-mediatheque-de-morcenx-40-jean-tucoo-chala;/evenement/1705-mediatheque-de-morcenx-40-jean-tucoo-chala;301;exact
/archives/1309-1705-carte-blanche-a-la-librairie-campus-dax-40-passiflore;/evenement/1705-carte-blanche-a-la-librairie-campus-dax-40-passiflore;301;exact
